X,Y,SurveyID,SurveyNumber,MagAnomaly,uncertainty
-6664.60688405938,1967164.1299123,FRNL85-4,33,138.499999999997,61
-6819.98150882201,1986863.40159145,FRNL85-4,33,50.7999999999971,61
-6328.81836031727,1986950.69494628,FRNL85-4,33,46.9000000000015,61
-5826.75642787752,1987048.82162482,FRNL85-4,33,42.0999999999985,61
-5335.60873505479,1987136.13743342,FRNL85-4,33,37.3000000000029,61
-4844.1842611407,1987234.55913917,FRNL85-4,33,33.5,61
-4353.05190187611,1987321.89715308,FRNL85-4,33,30.6999999999971,61
-3840.40125585749,1987419.79760384,FRNL85-4,33,28.9000000000015,61
-3328.04264704138,1987506.61552413,FRNL85-4,33,28.1999999999971,61
-2836.65034456085,1987605.08242105,FRNL85-4,33,30.4000000000015,61
-2334.3624561975,1987714.38390323,FRNL85-4,33,33.5,61
-1821.74556073186,1987812.33176763,FRNL85-4,33,37.6999999999971,61
-1320.88731985964,1987866.18471221,FRNL85-4,33,39.0999999999985,61
-820.317338891211,1987908.95540554,FRNL85-4,33,30.9999999999985,61
-330.373174917186,1987952.00808028,FRNL85-4,33,21.4999999999985,61
181.087559909793,1988005.62738105,FRNL85-4,33,9.99999999999854,61
681.640607633162,1988048.43445158,FRNL85-4,33,2.49999999999854,61
1181.90706066613,1988080.1596394,FRNL85-4,33,-1.45661260830821e-12,61
1671.82938622561,1988123.25984193,FRNL85-4,33,2.49999999999854,61
2161.46583982056,1988155.27775771,FRNL85-4,33,7.09999999999709,61
2672.61718296388,1988197.86476114,FRNL85-4,33,8.59999999999709,61
3183.76281218918,1988240.46444954,FRNL85-4,33,7.09999999999709,61
3694.90273046086,1988283.07682345,FRNL85-4,33,-0.400000000002912,61
4195.13808913121,1988314.8756575,FRNL85-4,33,-7.79999999999709,61
4695.36847392854,1988346.68676344,FRNL85-4,33,-12.1999999999985,61
5195.59388764348,1988378.51014162,FRNL85-4,33,-12.5999999999985,61
5695.81433306646,1988410.34579242,FRNL85-4,33,-8,61
6174.79151649214,1988442.72647801,FRNL85-4,33,-1.5,61
6675.55821381207,1988496.77287317,FRNL85-4,33,7,61
7176.04111264326,1988539.73799626,FRNL85-4,33,15.5,61
7676.51850064559,1988582.71527334,FRNL85-4,33,21,61
8187.88634809968,1988636.53256368,FRNL85-4,33,21.5000000000015,61
8688.6292606378,1988690.62747938,FRNL85-4,33,15.0000000000015,61
9189.08949299867,1988733.641367,FRNL85-4,33,4.50000000000146,61
9678.64935390913,1988765.83893812,FRNL85-4,33,-7.99999999999854,61
10179.375032786,1988819.96987943,FRNL85-4,33,-18.4999999999985,61
10679.8188618918,1988863.01997271,FRNL85-4,33,-23.8999999999985,61
11169.9144794897,1988917.43879502,FRNL85-4,33,-25.4999999999971,61
11681.2405554917,1988971.34216754,FRNL85-4,33,-25.1000000000029,61
12181.6673664044,1989014.42861745,FRNL85-4,33,-21.4999999999971,61
12682.3633976553,1989068.61987513,FRNL85-4,33,-19.1000000000029,61
13172.1610812931,1989111.99327277,FRNL85-4,33,-15.5000000000029,61
13683.4632153591,1989165.94598674,FRNL85-4,33,-10.1000000000015,61
14195.0330097989,1989231.00374599,FRNL85-4,33,-4.7,61
14706.5960341246,1989296.07396162,FRNL85-4,33,0.700000000001456,61
15207.2614765624,1989350.32590341,FRNL85-4,33,4.30000000000145,61
15718.8113487546,1989415.42082665,FRNL85-4,33,9.70000000000291,61
16219.7371588951,1989480.78929513,FRNL85-4,33,16.0999999999971,61
16731.0011232273,1989534.81669933,FRNL85-4,33,23.4999999999985,61
17242.258891843,1989588.85668482,FRNL85-4,33,31.9999999999985,61
17742.6215168874,1989632.07748408,FRNL85-4,33,41.5999999999985,61
18253.86727745,1989686.14242479,FRNL85-4,33,51.0999999999985,61
18754.4900114699,1989740.47969718,FRNL85-4,33,60.5,61
19265.7234946798,1989794.56953608,FRNL85-4,33,67,61
19766.3341432867,1989848.93117464,FRNL85-4,33,72.4000000000015,61
20277.5553605931,1989903.04591481,FRNL85-4,33,79.0000000000015,61
20832.31720519,1990000.50533534,FRNL85-4,33,84.1999999999985,61
21397.4160759527,1990086.62908378,FRNL85-4,33,88.6,61
21952.1593895747,1990184.11750154,FRNL85-4,33,95.9000000000029,61
22517.5094300425,1990281.36245788,FRNL85-4,33,102.199999999999,61
23082.8498800394,1990378.62232274,FRNL85-4,33,108.500000000001,61
-6466.52782872674,1981169.95989452,FRNL85-4,33,84.2000000000029,61
-6008.81338544295,1981191.54288526,FRNL85-4,33,75.9000000000015,61
-5572.63579941023,1981202.58491446,FRNL85-4,33,70.5000000000015,61
-5126.40389343246,1981191.17534482,FRNL85-4,33,69.2999999999971,61
-4680.17421219719,1981179.77593512,FRNL85-4,33,72.1000000000015,61
-4234.22980079759,1981157.29203367,FRNL85-4,33,79.9999999999971,61
-3788.00431052927,1981145.91299818,FRNL85-4,33,93.8000000000015,61
-3342.06357944553,1981123.44958073,FRNL85-4,33,108.599999999997,61
-2906.74885562976,1981101.26675725,FRNL85-4,33,122.5,61
-2460.24741835444,1981101.01249849,FRNL85-4,33,128.199999999999,61
-2014.03048629477,1981089.6739107,FRNL85-4,33,125.100000000001,61
-1567.25269146543,1981100.53412535,FRNL85-4,33,115.8,61
-1132.22733489441,1981067.2965732,FRNL85-4,33,104.700000000003,61
-697.203089315386,1981034.0689149,FRNL85-4,33,96.5999999999985,61
-251.275165211293,1981011.67642283,FRNL85-4,33,100.500000000001,61
194.090003053949,1980967.10598631,FRNL85-4,33,108.500000000003,61
639.454498874838,1980922.54603476,FRNL85-4,33,107.600000000003,61
1085.09833885514,1980889.09056321,FRNL85-4,33,93.4999999999986,61
1531.3005205376,1980877.83334806,FRNL85-4,33,76.3000000000029,61
1966.31769317057,1980844.66618149,FRNL85-4,33,57.2999999999971,61
2412.23678305454,1980822.33531039,FRNL85-4,33,45.2,61
2868.49889258354,1980788.65374493,FRNL85-4,33,39.1000000000029,61
3324.48101136409,1980743.88932431,FRNL85-4,33,34.2000000000029,61
3759.77209385665,1980721.85657643,FRNL85-4,33,36,61
4216.03052702098,1980688.20710848,FRNL85-4,33,43.9000000000015,61
4672.00974789402,1980643.47494804,FRNL85-4,33,64.0000000000015,61
5169.64928483247,1980564.40958104,FRNL85-4,33,92.2,61
5678.19041832129,1980496.18546349,FRNL85-4,33,126.499999999997,61
6175.83107341384,1980417.14719642,FRNL85-4,33,163.900000000001,61
6673.7492410526,1980349.21568118,FRNL85-4,33,209.1,61
7182.01447502215,1980269.93944112,FRNL85-4,33,244.399999999997,61
7690.55658844591,1980201.77038824,FRNL85-4,33,265.700000000001,61
8188.47542015649,1980133.87943232,FRNL85-4,33,271.9,61
8697.01774342154,1980065.7378417,FRNL85-4,33,260.299999999997,61
9205.5601611606,1979997.61012149,FRNL85-4,33,239.500000000003,61
9704.02945189486,1979951.94554209,FRNL85-4,33,209.600000000003,61
10202.4977456279,1979906.29403034,FRNL85-4,33,183.700000000003,61
10701.2395044316,1979871.74840994,FRNL85-4,33,165.900000000003,61
11210.6028428463,1979836.95317065,FRNL85-4,33,159.899999999997,61
11709.0675487201,1979791.34101042,FRNL85-4,33,154.999999999997,61
12218.154331805,1979745.47990363,FRNL85-4,33,152.099999999997,61
12716.6170285281,1979699.89414468,FRNL85-4,33,151.299999999997,61
13215.6247794767,1979676.50649307,FRNL85-4,33,147.299999999999,61
13724.4351508613,1979619.59309137,FRNL85-4,33,144.499999999997,61
14233.7899187033,1979584.87822718,FRNL85-4,33,142.599999999997,61
14742.8709088479,1979539.08451477,FRNL85-4,33,141.799999999997,61
15251.9508497842,1979493.30441475,FRNL85-4,33,143.899999999997,61
15761.3013010075,1979458.63014437,FRNL85-4,33,144.999999999997,61
16270.9213920332,1979435.06152072,FRNL85-4,33,146.999999999999,61
16780.539278,1979411.50626426,FRNL85-4,33,149.1,61
17300.5068892617,1979376.61310926,FRNL85-4,33,157.2,61
17799.2276514809,1979342.25189832,FRNL85-4,33,169.200000000001,61
18308.2993090282,1979296.55302925,FRNL85-4,33,186.300000000001,61
18817.9095622181,1979273.05147688,FRNL85-4,33,204.400000000003,61
19327.2481012509,1979238.47149342,FRNL85-4,33,220.800000000003,61
19847.2074199906,1979203.64715729,FRNL85-4,33,233.900000000003,61
20356.5427022816,1979169.09441903,FRNL85-4,33,243.899999999997,61
20855.2540875456,1979134.81244272,FRNL85-4,33,250.999999999997,61
21364.5862156345,1979100.2863898,FRNL85-4,33,257.099999999997,61
21873.916748182,1979065.77381759,FRNL85-4,33,257.199999999999,61
22372.3557446969,1979020.43973972,FRNL85-4,33,248.299999999999,61
22892.0380686765,1978974.60636232,FRNL85-4,33,229.499999999997,61
23390.2079371503,1978918.20760579,FRNL85-4,33,205.599999999997,61
23910.1553744633,1978883.4932986,FRNL85-4,33,182.699999999997,61
24419.2125289118,1978837.95716117,FRNL85-4,33,163.000000000003,61
24938.8906585107,1978792.17957292,FRNL85-4,33,149.100000000003,61
25458.5677167421,1978746.41614342,FRNL85-4,33,139.200000000003,61
25967.621816409,1978700.92134703,FRNL85-4,33,129.400000000001,61
26487.0313623878,1978644.09499295,FRNL85-4,33,118.6,61
26996.0837452163,1978598.62771858,FRNL85-4,33,109.7,61
27527.4380007201,1978597.03011092,FRNL85-4,33,101.600000000003,61
28069.4103960827,1978595.19340252,FRNL85-4,33,91.4999999999986,61
28611.379116177,1978593.37150843,FRNL85-4,33,83.5,61
29142.4586899604,1978580.72653652,FRNL85-4,33,77.5000000000015,61
29684.4204405342,1978578.93404114,FRNL85-4,33,72.3999999999971,61
30215.7570955527,1978577.4085346,FRNL85-4,33,69.3,61
30757.711586125,1978575.6453743,FRNL85-4,33,67.2000000000029,61
31289.0411185166,1978574.14862477,FRNL85-4,33,68.0999999999985,61
31830.9883630439,1978572.41479862,FRNL85-4,33,70.1,61
32362.048677251,1978559.85652957,FRNL85-4,33,71.1000000000015,61
32893.10607248,1978547.31261707,FRNL85-4,33,72.9999999999971,61
33424.1605520653,1978534.78306068,FRNL85-4,33,73.9999999999986,61
33955.212119337,1978522.26785998,FRNL85-4,33,75,61
34486.2607776216,1978509.76701453,FRNL85-4,33,77.0000000000015,61
35017.306530253,1978497.28052391,FRNL85-4,33,78.7999999999971,61
